decision_date,decision_month,next_month_start,next_month_end,split,index_code,index_name,decision_close,ret_1m,ret_3m,ret_6m,ret_12m,vol_1m,vol_3m,drawdown_1m,avg_turnover_1m,avg_turnover_rate_1m,positive_stock_ratio_1m,coverage_ratio,coverage_ratio_1m,hs300_ret_1m,hs300_ret_3m,hs300_vol_1m,hs300_vol_3m,industry_minus_hs300_1m,industry_minus_hs300_3m,next_month_return,next_month_hs300_return,next_month_excess_return,source
20150131,201501,20150201,20150228,train,801010,"Agriculture, Forestry, Animal Husbandry and Fishery",100,-0.00358021793765,-0.00462157008514,0.0490541024998,-0.0190680902402,0.016744909087,0.0254639176903,-0.0291425619326,55739562.9071,0,0,0,0,0.00723176254499,0.0394335953003,0.02,0.023,-0.0108119804826,-0.0440551653855,0.0176646216144,0.0103527395236,0.00731188209079,synthetic_test_fixture
20150131,201501,20150201,20150228,train,801030,Basic Chemicals,100,0.0127361569089,0.00498154416817,0.0138047611261,0.0272639077747,0.0173379611708,0.0239286452923,-0.0554093928401,68482478.6779,0,0,0,0,0.00723176254499,0.0394335953003,0.02,0.023,0.00550439436394,-0.0344520511322,0.0555421224371,0.0103527395236,0.0451893829135,synthetic_test_fixture
20150131,201501,20150201,20150228,train,801040,Steel,100,0.0208098266809,0.0510145278242,0.0656396837009,0.0895087809776,0.0225251529034,0.0171713767206,-0.0379419851797,62447114.5299,0,0,0,0,0.00723176254499,0.0394335953003,0.02,0.023,0.0135780641359,0.0115809325239,0.0931969638757,0.0103527395236,0.082844224352,synthetic_test_fixture
20150131,201501,20150201,20150228,train,801050,Non-ferrous Metals,100,0.00278913261963,0.086477124531,0.146501052505,0.24858066207,0.0132685209135,0.0216604598801,-0.0489369196104,77448430.0744,0,0,0,0,0.00723176254499,0.0394335953003,0.02,0.023,-0.00444262992537,0.0470435292307,0.00889555245611,0.0103527395236,-0.00145718706753,synthetic_test_fixture
20150131,201501,20150201,20150228,train,801080,Electronics,100,-0.0194255997934,0.011552763889,-0.0381799384777,-0.0366350266864,0.0192347827005,0.0178972547066,-0.0516921938613,67338859.8269,0,0,0,0,0.00723176254499,0.0394335953003,0.02,0.023,-0.0266573623384,-0.0278808314113,-0.00442267252637,0.0103527395236,-0.01477541205,synthetic_test_fixture
20150131,201501,20150201,20150228,train,801110,Household Appliances,100,-0.00914914843551,0.0077502371721,0.0352391413532,-0.0277342466616,0.0225023615759,0.0217626138411,-0.0420565538774,60808187.8079,0,0,0,0,0.00723176254499,0.0394335953003,0.02,0.023,-0.0163809109805,-0.0316833581282,-0.0541970919927,0.0103527395236,-0.0645498315163,synthetic_test_fixture
20150131,201501,20150201,20150228,train,801120,Food and Beverage,100,0.0315943741716,0.0251256338213,0.0625275729156,0.106878478799,0.0200499764749,0.0249229866356,-0.0435726942073,60629327.7646,0,0,0,0,0.00723176254499,0.0394335953003,0.02,0.023,0.0243626116266,-0.014307961479,0.0452865240274,0.0103527395236,0.0349337845038,synthetic_test_fixture
20150131,201501,20150201,20150228,train,801130,Textiles and Apparel,100,-0.0282949302391,-0.021263810199,-0.0140333849822,-0.114416678353,0.0147092015506,0.0190110126896,-0.03403676324,85423784.1563,0,0,0,0,0.00723176254499,0.0394335953003,0.02,0.023,-0.035526692784,-0.0606974054993,-0.0527688581496,0.0103527395236,-0.0631215976733,synthetic_test_fixture
20150131,201501,20150201,20150228,train,801140,Light Manufacturing,100,0.0347992892389,0.00214904025363,-0.0135131893892,0.0639792662307,0.0191782497685,0.0191999117804,-0.0182684434206,71909294.4142,0,0,0,0,0.00723176254499,0.0394335953003,0.02,0.023,0.0275675266939,-0.0372845550467,0.0561259813894,0.0103527395236,0.0457732418657,synthetic_test_fixture
20150131,201501,20150201,20150228,train,801150,Pharmaceuticals and Biotechnology,100,-0.0104956255551,-0.0421935745674,-0.0558759087401,-0.0997349287751,0.0202885180309,0.0208820291637,-0.0693152014007,62617743.9604,0,0,0,0,0.00723176254499,0.0394335953003,0.02,0.023,-0.0177273881001,-0.0816271698677,-0.0563006922512,0.0103527395236,-0.0666534317749,synthetic_test_fixture
